Date,Item_ID,Item_name,Quantity_sold,Quantity_used,Quantity_wasted,Waste_cost,Unit_cost,Cost_used,Item_price,Margin_per_item,Transaction_amount,Time of sale
3/30/2023,1003,Sugarcane juice,14,16.8,2.8,33.6,12,201.6,25,182,350,Night
3/29/2023,1007,Cold coffee,13,13.8,0.78,7.8,10,137.8,40,390,520,Evening
3/29/2023,1007,Cold coffee,14,14.8,0.84,8.4,10,148.4,40,420,560,Afternoon
3/27/2023,1005,Panipuri,6,7.5,1.5,15,10,75,20,60,120,Afternoon
3/27/2023,1006,Sandwich,6,6.6,0.6,15,25,165,60,210,360,Night
3/27/2023,1005,Panipuri,13,16.3,3.25,32.5,10,162.5,20,130,260,Midnight
3/27/2023,1005,Panipuri,15,18.8,3.75,37.5,10,187.5,20,150,300,Midnight
3/26/2023,1006,Sandwich,1,1.1,0.1,2.5,25,27.5,60,35,60,Evening
3/26/2023,1002,Vadapav,3,3.3,0.3,3,10,33,20,30,60,Morning
3/26/2023,1002,Vadapav,8,8.8,0.8,8,10,88,20,80,160,Midnight
3/25/2023,1001,Aalopuri,2,2.2,0.16,1.9,12,25.9,20,16,40,Afternoon
3/25/2023,1007,Cold coffee,13,13.8,0.78,7.8,10,137.8,40,390,520,Afternoon
3/25/2023,1005,Panipuri,14,17.5,3.5,35,10,175,20,140,280,Midnight
3/24/2023,1007,Cold coffee,2,2.1,0.12,1.2,10,21.2,40,60,80,Midnight
3/23/2023,1007,Cold coffee,10,10.6,0.6,6,10,106,40,300,400,Morning
3/23/2023,1005,Panipuri,12,15,3,30,10,150,20,120,240,Afternoon
3/23/2023,1003,Sugarcane juice,14,16.8,2.8,33.6,12,201.6,25,182,350,Afternoon
3/22/2023,1007,Cold coffee,6,6.4,0.36,3.6,10,63.6,40,180,240,Evening
3/21/2023,1007,Cold coffee,5,5.3,0.3,3,10,53,40,150,200,Afternoon
3/21/2023,1001,Aalopuri,14,15.1,1.12,13.4,12,181.4,20,112,280,Night
3/20/2023,1007,Cold coffee,9,9.5,0.54,5.4,10,95.4,40,270,360,Evening
3/19/2023,1003,Sugarcane juice,6,7.2,1.2,14.4,12,86.4,25,78,150,Afternoon
3/19/2023,1004,Frankie,7,7.7,0.7,14,20,154,50,210,350,Night
